source_layer,slice_id,target,holdout_city,shot,source_r2,satca_r2,delta_r2,source_rmse,satca_rmse,delta_rmse,source_mae,satca_mae,delta_mae,failure_type,severity_score,protocol_r2,protocol_rmse,protocol_mae,split_family,method
satca_122_citywise,audited9,intersection_nodes,HongKong,10,0.786780083601323,0.7687506790303105,-0.01802940457101254,6.228936959682061,8.430201274700032,2.201264315017971,2.1387101041774086,2.868259997729946,0.7295498935525373,satca_regression,0.01802940457101254,,,,,
satca_122_citywise,audited9,intersection_nodes,London,10,-0.2568032674374432,-0.3064806769405557,-0.0496774095031125,5.753519689230523,5.61175903090234,-0.14176065832818274,4.1480719082591735,4.105919723338719,-0.042152184920454694,negative_r2,0.3064806769405557,,,,,
satca_122_citywise,audited9,intersection_nodes,London,10,-0.2568032674374432,-0.3064806769405557,-0.0496774095031125,5.753519689230523,5.61175903090234,-0.14176065832818274,4.1480719082591735,4.105919723338719,-0.042152184920454694,satca_regression,0.0496774095031125,,,,,
satca_122_citywise,audited9,intersection_nodes,NewYork,10,0.4537031003112893,0.2873651268971814,-0.1663379734141079,10.386792208304795,11.31287288981284,0.9260806815080453,5.909692869280621,6.885313773096185,0.9756209038155639,satca_regression,0.1663379734141079,,,,,
satca_122_citywise,audited9,intersection_nodes,Seoul,10,0.6903945497828667,0.6524645728642949,-0.037929976918571806,4.313169189061951,4.57570543951102,0.2625362504490685,2.744672793313964,2.830835159550867,0.08616236623690332,satca_regression,0.037929976918571806,,,,,
satca_122_citywise,audited9,intersection_nodes,Shanghai,10,0.8455316703966133,0.8328703454042095,-0.0126613249924038,1.9127345002098943,2.048971497759568,0.13623699754967378,1.514530319850018,1.560967176720332,0.04643685687031396,satca_regression,0.0126613249924038,,,,,
satca_122_citywise,audited9,intersection_nodes,Tokyo,10,0.1970924554356038,0.1077417530252125,-0.08935070241039131,26.2603534067808,26.98208134732209,0.7217279405412889,14.033890572043816,14.50773224911064,0.4738416770668241,satca_regression,0.08935070241039131,,,,,
satca_122_citywise,audited9,road_segments,Beijing,10,-0.1790057397690402,-0.2436247907702524,-0.06461905100121221,85.77665446660528,89.49935494405148,3.722700477446196,64.74483023696493,70.02308453183618,5.278254294871246,negative_r2,0.2436247907702524,,,,,
satca_122_citywise,audited9,road_segments,Beijing,10,-0.1790057397690402,-0.2436247907702524,-0.06461905100121221,85.77665446660528,89.49935494405148,3.722700477446196,64.74483023696493,70.02308453183618,5.278254294871246,satca_regression,0.06461905100121221,,,,,
satca_122_citywise,audited9,road_segments,HongKong,10,0.5819298897035905,0.5718941113093801,-0.010035778394210437,347.9337017557391,282.4590097398286,-65.47469201591048,165.37516662229575,166.2283426001538,0.8531759778580579,satca_regression,0.010035778394210437,,,,,
