slice_id,target,shot,method,method_label,holdout_city,r2_city_mean,rmse_city_mean,mae_city_mean,seeds_count,eval_count_mean
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Abidjan,-5.276111139520243,16.64406907141303,12.57261150156959,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,AbuDhabi,-0.8186674237247915,13.332973916811392,9.826463690497102,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Accra,-9.629121088345888,20.814489558021318,14.4992718684112,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,AddisAbaba,-35.65216794807311,21.49846128971099,14.959227063703242,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Adelaide,0.5769807909547862,12.66593087136934,10.151395197002714,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Algiers,-2.0450983390866746,14.694807349179074,11.150541185061464,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Amsterdam,-0.06879169829516907,13.143800444028019,9.932165027609335,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Asunción,-1.2246226628339212,15.114674908070965,11.682579070864131,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Atlanta,-0.6642891202110923,38.767885402791066,34.14528087712475,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Auckland,0.3233112454061776,25.001054647072536,17.226767601779134,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Baghdad,-11.049780602920618,19.571952390826677,15.103296640832216,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Bangalore,0.4738945510375968,9.268186902697988,7.241034656448188,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Bangkok,-5.785781533656744,17.73043411765439,13.132529255455413,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Barcelona,-1.434051777240645,80.68301885921265,67.24679869172994,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Beijing,-27.47965105373157,20.974732647939007,15.169011815566316,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Beirut,-1.2935282866812137,13.619825638218057,9.843539222208967,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Bengaluru,-1.0776615753659335,14.381446925596196,11.160537611712602,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Berlin,-0.056852862294118234,11.399125379565831,8.95511518298925,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Bogota,0.49193135312133573,11.874094921100221,7.469915680151821,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Bogotá,0.41143032451663186,9.41793236837808,7.525288650802229,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Brasília,-1.217128186949667,13.415903481188806,9.588025100314717,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Brussels,-0.6178642183618908,40.63700657590371,33.88831371484242,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Budapest,-0.19344958668459022,32.514568228203935,26.55040439006737,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,BuenosAires,-0.012053836856655176,13.293028244729339,8.812270366268802,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Busan,-6.325480914889312,16.494739137312703,12.21841860425249,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Cairo,-24.075581134894804,19.73223469534252,15.069496438670365,8,20.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,Cali,0.6568050936586431,10.859027357355233,7.521666749398216,8,100.0
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,CapeTown,0.13929017800362442,12.037104777930193,9.073639502204372,8,20.0
