slice_id,target,holdout_city,source_r2,source_rmse,source_mae,satca_r2,satca_rmse,satca_mae,seeds_count,delta_r2,delta_rmse,delta_mae,failure_count,max_failure_severity,has_negative_r2,has_satca_regression,failure_types,mean_incoming_domain_shift,p90_incoming_domain_shift,high_domain_shift,robustness_label
structural43,intersection_nodes,HongKong,0.4509738651917609,8.113916080926181,2.798281160309928,-0.0575810268812422,9.501965151865493,3.282895155387603,8,-0.5085548920730031,1.3880490709393118,0.48461399507767533,4.0,39.13602393230917,True,True,negative_r2;negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.47142390082644625,0.692613,False,regression
structural43,intersection_nodes,AddisAbaba,0.4660480347796512,2.2067086694293714,1.3920299358684336,0.2356859342223276,2.6145925680982227,1.6206589895665675,8,-0.2303621005573236,0.40788389866885133,0.2286290536981339,2.0,0.7667284437968385,True,True,negative_r2_loco_ridge;satca_regression,0.0,0.0,False,regression
structural43,intersection_nodes,London,0.2393145209977758,4.314400056141876,3.4045625018636256,0.0571880351196436,4.597583327094815,3.5662396860784837,8,-0.1821264858781322,0.2831832709529394,0.1616771842148581,5.0,16.43537001961565,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;negative_r2_loco_ridge;negative_r2_loco_tabular_knn;satca_regression,0.47585091735537194,0.646896,False,regression
structural43,intersection_nodes,Accra,0.7421918361817894,3.331822180058266,2.34236009625178,0.599705588446315,4.330277923101649,2.649679767847641,8,-0.14248624773547436,0.9984557430433831,0.3073196715958608,8.0,148.91394153018746,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;negative_r2_loco_ridge;satca_regression,0.41729375206611574,0.534023,False,regression
structural43,intersection_nodes,Mumbai,0.5639944211740517,0.6252269797494534,0.3141993766774246,0.4409724918127159,0.9496141862238824,0.400476770647666,8,-0.12302192936133582,0.324387206474429,0.08627739397024142,2.0,0.1999999999999997,True,True,negative_r2_in_city_tabular_knn;satca_regression,0.5126959834710744,0.720342,True,regression
structural43,intersection_nodes,RioDeJaneiro,0.8075319349676908,3.174491398124333,2.085219685719884,0.6910230551781398,3.83750736590482,2.350757330091729,8,-0.11650887978955105,0.663015967780487,0.2655376443718449,1.0,0.116508879789551,False,True,satca_regression,0.0,0.0,False,regression
structural43,intersection_nodes,Tokyo,0.1825240285064036,26.90004152756516,13.880013642067311,0.073323624272719,27.39982094483918,14.711415033129772,8,-0.10920040423368459,0.49977941727402,0.8314013910624602,7.0,7.603021103645238,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.4716422396694215,0.663919,False,regression
structural43,intersection_nodes,NewYork,0.3931284999849728,10.905732371475722,5.735933304486954,0.2872570935871466,11.4146257452807,6.281340882899389,8,-0.10587140639782622,0.5088933738049786,0.5454075784124353,3.0,0.3021445868925416,True,True,negative_r2_in_city_ridge;satca_regression,0.49302185123966946,0.644737,True,regression
structural43,intersection_nodes,Istanbul,0.7226280852664824,3.855386557715673,2.6517053107297643,0.6282009306444317,4.257383756332545,2.7963896769646976,8,-0.09442715462205065,0.401997198616872,0.1446843662349333,4.0,0.569944600822462,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.4444287355371901,0.524078,False,regression
structural43,intersection_nodes,Berlin,0.6129418136690455,5.9897201679833785,4.743154466917844,0.5249491282568006,6.770086353654313,5.147905585015916,8,-0.08799268541224492,0.7803661856709345,0.40475111809807274,4.0,1.123656777621206,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.46231413223140494,0.62847,False,regression
structural43,intersection_nodes,Shanghai,0.687252256214697,2.640755448859124,2.033102285537048,0.6230957530765233,2.8442608635144966,2.095791542357804,8,-0.06415650313817367,0.20350541465537253,0.06268925682075599,4.0,1.380701455402435,True,True,negative_r2_in_city_tabular_knn;negative_r2_loco_ridge;negative_r2_loco_tabular_knn;satca_regression,0.489668132231405,0.705789,False,regression
structural43,intersection_nodes,Delhi,0.4486521621911046,5.414322502792433,3.842928214635396,0.3970553509800907,5.5679001202422285,4.027085254671441,8,-0.05159681121101389,0.1535776174497956,0.18415704003604505,5.0,0.6071273643106425,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.49804103305785125,0.705858,True,regression
structural43,intersection_nodes,Paris,0.1172085469684312,26.204345331011723,15.79496862965447,0.0656134137305754,26.246067225944174,18.102009713647423,8,-0.05159513323785579,0.04172189493245071,2.307041083992953,4.0,0.5837111528442478,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;negative_r2_loco_tabular_knn;satca_regression,0.4581593305785124,0.597562,False,regression
structural43,intersection_nodes,Chicago,0.6869945308251615,7.299904903638064,4.370630157467848,0.6424691197604171,7.766566524600552,4.566874175987125,8,-0.04452541106474439,0.46666162096248875,0.19624401851927686,6.0,3.936533632681309,True,True,negative_r2_in_city_ridge;negative_r2_in_city_tabular_knn;satca_regression,0.4920359173553719,0.635035,True,regression
structural43,intersection_nodes,Nairobi,0.6154532747544348,4.960104780139777,3.078678557476146,0.573470730005238,5.268917847815477,3.128209991588917,8,-0.041982544749196826,0.3088130676756995,0.049531434112771056,2.0,0.0419825447491968,True,True,negative_r2_in_city_ridge;satca_regression,0.4136910909090909,0.524845,False,regression
