slice_id,split_family,target,method,split_count,positive_split_count,negative_split_count,negative_r2_ratio,mean_r2,mean_rmse,mean_mae
audited9,in_city,intersection_nodes,ridge,27,16,10,0.37037037037037035,-2.254537161527807,13.721970483350146,9.631752153217398
audited9,in_city,intersection_nodes,tabular_knn,27,15,11,0.4074074074074074,-0.33141412708738055,13.570936231047154,9.460493827160494
audited9,in_city,road_segments,ridge,27,14,13,0.48148148148148145,-3.3074211342509594,259.7403161071926,189.40810043227648
audited9,in_city,road_segments,tabular_knn,27,16,11,0.4074074074074074,-5.230431844750719,260.16579655090834,181.1185185185185
audited9,loco,intersection_nodes,ridge,9,5,4,0.4444444444444444,-0.9303149410976046,15.932302823227436,10.452164081394839
audited9,loco,intersection_nodes,tabular_knn,9,4,5,0.5555555555555556,-0.3994474475585409,16.477824285318434,9.555555555555554
audited9,loco,road_segments,ridge,9,5,4,0.4444444444444444,-0.3885080124773943,283.03634956524184,182.40526480909358
audited9,loco,road_segments,tabular_knn,9,4,5,0.5555555555555556,-0.44608568819686234,325.11167783491084,207.81777777777776
audited9,random,intersection_nodes,ridge,3,3,0,0.0,0.4196509946927673,17.42312207532697,10.187747370725775
audited9,random,intersection_nodes,tabular_knn,3,3,0,0.0,0.39541082155206,17.848034742066663,8.581481481481482
audited9,random,road_segments,ridge,3,3,0,0.0,0.500174091429621,346.04978351377645,177.43881837216335
audited9,random,road_segments,tabular_knn,3,3,0,0.0,0.36027287606149166,391.3717778475861,194.29259259259257
structural43,in_city,intersection_nodes,ridge,129,74,52,0.40310077519379844,-1.9172858706002311,9.817448309888949,7.065638351232974
structural43,in_city,intersection_nodes,tabular_knn,129,82,44,0.34108527131782945,-0.33809419307477717,9.940925406990049,7.003875968992248
structural43,in_city,road_segments,ridge,129,81,48,0.37209302325581395,-0.8158609928494714,208.38216772160564,155.6426029274354
structural43,in_city,road_segments,tabular_knn,129,88,41,0.3178294573643411,-1.0551564069091728,213.78815008726139,158.52558139534887
structural43,loco,intersection_nodes,ridge,43,31,12,0.27906976744186046,-0.2661734789338046,10.018633533837368,6.522822132809394
structural43,loco,intersection_nodes,tabular_knn,43,32,11,0.2558139534883721,0.058773627073967105,10.39819439917361,6.460244798041617
structural43,loco,road_segments,ridge,43,34,9,0.20930232558139536,0.21256249371690167,206.24615287329632,143.3977859353833
structural43,loco,road_segments,tabular_knn,43,28,15,0.3488372093023256,0.013377120276393113,235.05295792905926,162.39799265605873
structural43,random,intersection_nodes,ridge,3,3,0,0.0,0.4659604310600574,10.563696618089521,6.0804021806459465
structural43,random,intersection_nodes,tabular_knn,3,3,0,0.0,0.43631626510628013,10.861376202970751,5.700775193798449
structural43,random,road_segments,ridge,3,3,0,0.0,0.5705284011635233,210.12905662081133,132.42139385180818
structural43,random,road_segments,tabular_knn,3,3,0,0.0,0.42852905375320444,242.1043709772698,154.07467700258397
