slice_id,target,shot,method,method_label,feature_set,holdout_city,r2_city_mean,rmse_city_mean,mae_city_mean,seeds_count,eval_count_mean,feature_count
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Abidjan,-0.19493225044607332,7.262494857952706,5.438142592627212,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,AbuDhabi,-0.022658564373443157,9.998059466550112,8.455475579181266,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Accra,-0.2147516451352951,7.0365671357356225,6.001345661364535,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,AddisAbaba,-0.8826295547618601,4.872366846363999,3.4853078616123803,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Adelaide,-0.023535010385607347,19.701914052665995,14.672927689936596,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Algiers,-0.0015354645889549268,8.42745421547593,6.244152696340953,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Amsterdam,-3.9664030597027384,28.33318532340391,26.92750004567468,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Asunción,-1.0622935705130474,14.552777049967245,13.274131921729156,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Atlanta,-0.2603121835400015,33.73624898708203,21.968775433779786,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Auckland,-0.04000120356069847,30.994224231632458,24.55043864734002,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Baghdad,-1.1715083532614838,8.30855182323293,7.642157158674105,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Bangalore,-0.9956553382033857,18.050995266862316,13.444766858526263,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Bangkok,-1.3301494792509847,10.389898940798222,7.85,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Barcelona,-0.7368750531467403,68.15559633809093,57.09402385457358,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Beijing,-0.7705130279980581,5.229722745997153,3.45,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Beirut,-0.4302712852279025,10.755453009553744,9.09131593181499,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Bengaluru,-2.2451844596800523,17.973591738993072,14.95,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Berlin,-4.5497618443306695,26.12170015064976,24.121552033771884,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Bogota,-0.30026643517264784,18.995708421239822,13.402341015470409,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Bogotá,-0.26657555097455776,13.815677165157915,10.580917667653992,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Brasília,-1.21076585808447,13.396640338506414,11.629782801619877,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Brussels,-0.02041544225697378,32.272988660318624,23.738864469321914,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Budapest,-0.02157427959000624,30.08229231573754,24.591922899280085,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,BuenosAires,-0.48679104894399683,16.111912274637728,13.830310340214657,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Busan,-0.0018626098990504047,6.100022899999771,5.091609232794025,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Cairo,-2.8260126313183216,7.707685199383486,6.670138711522226,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Cali,-0.27676447293104456,20.944784934684023,16.03983693155719,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,CapeTown,-0.09485263169954994,13.575989541109047,10.191228694138493,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Caracas,-0.9970918083476248,12.798307587346548,11.36284676247049,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Casablanca,-0.9289265985307935,13.442617511839838,9.951372068635335,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Changchun,-9.17549962755579,5.9486399710175775,5.710080276736375,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Changsha,-0.8934678642236042,3.1636500728588097,2.9241075427248733,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Chengdu,-0.11958598883795024,4.978718087306432,3.1368847941939,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Chennai,-0.04731819883057842,6.902779863701034,4.721679084696864,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Chicago,-0.2039765897737713,29.521101682800897,22.411602484334274,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Colombo,-0.018525546639146517,7.212042245646833,5.977298938239292,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Copenhagen,-1.4093841285569058,26.62878799954033,24.011139145921625,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dakar,-1.0114008095207083,8.768557817831713,6.814720884521218,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dalian,-0.025434022095466524,7.130713069267587,5.231755722529549,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dallas,-0.006458632683324916,37.62646725851709,30.119183149993233,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Delhi,-1.4454529586315243,11.836384583140243,9.1,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Detroit,-0.013487715554896917,30.49168942957776,22.851972051977064,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dhaka,-6.842770893598023,9.736503128760658,9.181835554526218,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Doha,-0.598325630338806,25.95577786637344,19.505814328549917,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dongguan,-0.03555652772623796,4.18314841355948,3.327031827690531,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dubai,-0.4495854506552557,14.724129855444769,8.2,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Dublin,-0.5477998599635996,26.373507722132686,22.614993736983173,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Guayaquil,-1.001118288862278,9.947788757985457,8.659387017750603,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Hanoi,-0.02229085417962029,18.968000506642117,15.567286581013601,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Harbin,-12.982919351492214,6.622388410084399,6.452499936388797,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Hefei,-0.7096168627195172,4.190831062260071,3.767634901804884,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Helsinki,-0.04066874969783285,59.52833949148572,48.57927901426663,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,HongKong,-0.06349504532005801,21.281447319202705,5.2,8,20.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Houston,-0.05421684418457251,24.090053235570664,20.155664216008926,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Hyderabad,-0.033102888989305246,4.454688937834176,3.5071572637635664,8,100.0,15
scale122,intersection_nodes,0,coord_metadata_pooled_ridge,Coordinate+metadata pooled ridge,coord_metadata,Islamabad,-4.335192582344178,7.173195336888588,6.558735063193134,8,100.0,15
