path,size_bytes,sha256
.gitattributes,90,4112cbcb92b5052528be1b24fd8a3d385a85424470bf7b42ad0f8329aef11e49
.gitignore,167,94647e86bcdffc221dcb1e729a7fbc039d003fa47c406bc90125aa893e1ea887
LICENSE,2752,c0b02a3b8857c46ec6c17c25672251772e28044468973081a29b5407e990ebab
README.md,2958,ceabcdfc131b82a0f8de87151a6188870931d658e5edd6922eede653d46d16a4
croissant_cityshiftbench_scale122.json,13943,0df7685ce290e74d7621cf9c0f30edacc0ddd15ec093f2c546103d51445f6e7a
data/cityshiftbench_scale122_tile_targets.csv,1178303,bc2c3933d3f02604b7b6618982dfd60ae9b69bc81ba30e1a968f0519736b6a8d
data/integrity/city_exclusion_122.csv,678,f6aa84515d72c7f6db2a5a9ed3be71e828e6ad6344f77506d8eb8c0ab432d780
data/integrity/city_union_122_audit.csv,17172,eaabd125ca6d39725907859cb5569363b1351d1293a47088150bd8a153383ec3
data/integrity/osm_mainline_active_122.csv,20564,1abb0ce522778773cd117f1013f8625818a8fb31f6840e876fb58c3fde2e3de9
data/slices/paper_slice_registry_122.csv,16589,1bf29f05b270d4da356297a3fe7001bd62cd158acaea3a4f1807df8b4fa9cfc2
data/splits/loco_122_registry.csv,24893,c88077e8d1972f886ccccec53e071f24391a90d86b1d6a218cf458694bf8e008
data/splits/split_registry_122.csv,109625,cfebe60890ce89f177e0228f3ab46d274b97d9d4b641be561369be7ee3a8d070
data/splits/target_shot_registry_scale122.csv,15102024,48e4a6fcd3ab26b4077854c190a1504ab0135442b554d0a0475e96ac9aed2891
data/targets_all_122.csv,24821,534950e577d48469646680302949eda4549114e6dcbc9771b150daff08aeb550
data/tile_manifest_122.csv,1172859,e5587f5ae536955c149592ba89dcae0bd8837d231ab7c3a4fc154bd614030b38
docs/ARTIFACT_RELEASE.md,2976,6e45ddd380c87030e29c7185ddb410548e6b9672e84d472bb8e46e9779ab2653
docs/BENCHMARK_CARD.md,3426,99c6bd2b7eacad24ba66e12e27bf0c45db47b764fff91621ece4fb49b8a8e022
docs/CITYSHIFTBENCH_CROISSANT_METADATA.json,13943,0df7685ce290e74d7621cf9c0f30edacc0ddd15ec093f2c546103d51445f6e7a
docs/COMPUTE_RESOURCES.md,2694,d4fd967938bdbf320db848dc340d114c9f361b8716abd1a46b46e4a59a9dc123
docs/DATA_CARD.md,3200,29113ad329d025bfbc567ddac5e001f59fbae7befb99058dbb98bf8ae6f55f55
docs/LICENSES.md,2145,00069ed76a338a99c95122e2bf144ae29b61dd3082a8e8caafe0a04ff7eb9394
docs/REVIEWER_COMMANDS.md,1683,b463915b2f167a73ad8eff452e8a88835c1cf0677842e774a79744a98ba6b700
docs/SERVER_SCALE122_RUNBOOK.md,2915,68ad3c55f1b168a2bec0a3ab8a01b590b11ded080bf16e1f9b3460baac031d06
paper_tables/audited9_baseline_suite_k10_no150_v5.tex,1360,84689e35c372778f80dbe7723f353b41e279554ed367fd9fb842414c34d40df8
paper_tables/benchmark_scale_difficulty_table_no150_v5.tex,684,938a66cbe823d1f1aca4ae9216149e69caa25233ef63adf3d6a7fe68e37c4c4b
paper_tables/diagnostic_inventory_table_no150_v5.tex,582,767c9a7b97efe6ac35b2d343ac253336d88d3a7810d197b1fa6a62943504d454
paper_tables/fewshot_scaling_table_no150_v5.tex,1357,97ca043184ac43d436d7a389092f85108149049b3149e89c4c3db08f97f4d73d
paper_tables/neurips_ed_ablation_table_no150_v8.tex,1462,fee4858e821760cefaa4d53dfbeda08666e55bf0a52d2edb5d8446167def0de1
paper_tables/neurips_ed_coverage_table_no150_v8.tex,893,88b76c71f3c719f37bf13549160d02a1aae62cda2a8a70a024b58cf9d909a134
paper_tables/neurips_ed_evidence_ladder_no150_v8.tex,1420,b3aca9dd7c896e92c0f3c525e336e3ce5acca72b9b248d6fdf884115df7cad6c
paper_tables/neurips_ed_method_claim_table_no150_v8.tex,3067,3da3755a41be51ea53aacf0d782c12f53d8b700d1c03b627eed35c945b1f73f7
paper_tables/neurips_ed_method_point_table_no150_v8.tex,2022,d9e510fd40fc3a9b5f96e06e72981a0d9450c4a22964a00ce63e5bfa1439ad91
paper_tables/neurips_ed_validity_controls_no150_v8.tex,1205,5636be24b301413efe5a40dc463c8661de24eb5c75af84d8d0eb5988ed358c17
paper_tables/paired_inference_table_no150_v5.tex,962,34d574fdee4c60547311e3104943131148f0a276c21623ade8bb68e8ccc06574
paper_tables/protocol_sensitivity_table_no150_v5.tex,715,35c8cace1cc60e7df5cb3f4c0947f77c5e4855468d60d20d023552185678ff86
paper_tables/satca_ablation_control_table_no150_v5.tex,1473,4266f635562300a00796d61ee4bccd4ee41bc3db7915b019190de0170dd07c5a
paper_tables/scale122_satca_ablation_k10_no150_v7.tex,1052,effabf347ba1e10d0f9471ebec43962f20fcbcb5c0208196dca24fd86aebf9ba
paper_tables/scale122_satca_paired_k10_no150_v7.tex,667,28d0749d1c53fa095076ce3f8e31ed508df50e88c4c173a9ff05e9183b207cee
paper_tables/scale122_satca_shot_curve_no150_v7.tex,1169,388766a6151a2354469850f286e5d657fcbc4d5ac3e0465d261daf1901845646
paper_tables/scale122_shortcut_control_k10_no150_v7.tex,582,580fed38be27530aef93f66419cde10936e5d014fbd018a1f2e70a7951594b39
paper_tables/scale122_stress_baseline_k10_no150_v6.tex,1340,f72e127ee3299beb3c7fa64b7900296518bb09e298a7a09dc941d9c0c098f1d5
paper_tables/structural43_baseline_suite_k10_no150_v5.tex,1450,158e946cc58caeb5a94db41f185da4f7e6b61b78fb195d34ca7860744c0c890a
requirements.txt,514,c36ba28903640f7a7e997049d4020085dd11a86d5cd6998adedf9cb8f456e6b8
results/city_level_robustness_122.csv,46299,1aa4b6f75046732287b9f22d839af40951abc79a97c74ee9a510df7f3d787135
results/failure_case_clusters_122.csv,4293,5e8e466c8585f323cb08027d30ce79de896f201ced6a8cf04dab6b2b1c4eec77
results/failure_cases_122.csv,74019,0e231210a896bd939f872595563d9a57b53481187d3a7087d7666bae9def1ec4
results/fewshot_baseline_suite_scale122_citywise.csv,699963,037fbf8c3423952ca61f550ca9d691cce672bbb48720ddbd09f60e46d463efce
results/fewshot_baseline_suite_scale122_summary.csv,7877,75cca8e66ae0abc59a3f8b7cc9ea27e326ef71fea3cb46227d0a42fb715aca8e
results/protocol_baselines_122.csv,3065,d904d9a6d73f787243e712ae89c6c4150ba916abe79363780d97cca8fed68d28
results/satca_scale122_local_ablation_k10_summary.csv,3550,e383ba70abc1ff263eadb9a0f9070043d0c329a32361c722ccd20a5fa3e852c3
results/satca_scale122_local_sharded_k010_citywise.csv,296120,9dc2dd19966bbff570331a3db764d0af1048236e163fa70902d90e8c741086d7
results/satca_scale122_local_sharded_k010_paired_significance.csv,2303,60346729329a4647cca8af6f0e3f6da0c0984188e7bc3b71e8d6534b909f610e
results/satca_scale122_local_sharded_k010_summary.csv,5121,685d8e5c3518a2e265878d3ec8df7023709a62d4bc14e96760fdb09b09ac1873
results/satca_scale122_local_sharded_shot_curve_paired_significance.csv,2315,06c3b54a14dfe87c1e2b0d6c1259303ebf4c70b4c8fb1d6e355c83ea71a51514
results/satca_scale122_local_sharded_shot_curve_summary.csv,17545,4bad35a7b5e6353d86c35f66b5f16e5c35319a89b0edae94ac4989481b77c317
results/scale122_shortcut_baselines_citywise.csv,487170,c44b424e9c7b9c4a9389f4eb9a7c80f2ddef289c6de81a90998e8dbeee18cac0
results/scale122_shortcut_baselines_summary.csv,4913,6eae5e47a272fdcada20cde35a3a57ea543b3d3d86ce8fe4521f1f403ac42b6d
scripts/phase3_experiments/merge_satca_scale122_shards.py,17435,7ae00d717bb1d80ea03459e121cc16785d1c04b06900ba395d5651e5767431b7
scripts/phase3_experiments/run_fewshot_baseline_suite_122.py,16064,ece7013d576350b917084f3ba7cf240f83df7c033175fd7c9654be2f789efb32
scripts/phase3_experiments/run_scale122_shortcut_baselines.py,12916,0bcc86a663c5cf2cc05414a41479b25e02c8f991f98319fbc9643859a9d2f4c7
scripts/verify_artifact.py,4802,c601266dc7a0c4cb2b7c2bb560ac578ef6d84332fdddcc174ab093bef7bb89d8
